Choosing point 0 as the root ...
Point 367 has a distance 63 to the tree, parent 0;
Point 368 has a distance 91 to the tree, parent 0;
Point 369 has a distance 106 to the tree, parent 0;
Point 370 has a distance 24 to the tree, parent 0;
Point 371 has a distance 17 to the tree, parent 0;
Point 372 has a distance 4 to the tree, parent 0;
Point 373 has a distance 97 to the tree, parent 0;
Point 374 has a distance 60 to the tree, parent 0;
Point 375 has a distance 49 to the tree, parent 0;
Point 376 has a distance 84 to the tree, parent 0;
Point 377 has a distance 88 to the tree, parent 0;
Point 378 has a distance 34 to the tree, parent 0;
Point 379 has a distance 59 to the tree, parent 0;
Point 380 has a distance 79 to the tree, parent 0;
Point 381 has a distance 69 to the tree, parent 0;
Point 382 has a distance 128 to the tree, parent 0;
Point 383 has a distance 97 to the tree, parent 0;
Point 384 has a distance 59 to the tree, parent 0;
Point 385 has a distance 28 to the tree, parent 0;
Point 386 has a distance 45 to the tree, parent 0;
Point 387 has a distance 80 to the tree, parent 0;
Point 388 has a distance 49 to the tree, parent 0;
Point 389 has a distance 100 to the tree, parent 0;
Point 390 has a distance 92 to the tree, parent 0;
Point 391 has a distance 89 to the tree, parent 0;
Point 392 has a distance 61 to the tree, parent 0;
Point 393 has a distance 35 to the tree, parent 0;
Point 394 has a distance 121 to the tree, parent 0;
Point 395 has a distance 49 to the tree, parent 0;
Point 396 has a distance 66 to the tree, parent 0;
Point 397 has a distance 108 to the tree, parent 0;
Point 398 has a distance 40 to the tree, parent 0;
Point 399 has a distance 26 to the tree, parent 0;
Point 400 has a distance 24 to the tree, parent 0;
Point 401 has a distance 54 to the tree, parent 0;
Point 402 has a distance 63 to the tree, parent 0;
Point 403 has a distance 112 to the tree, parent 0;
Point 404 has a distance 65 to the tree, parent 0;
Point 405 has a distance 10 to the tree, parent 0;
Point 406 has a distance 98 to the tree, parent 0;
Point 407 has a distance 95 to the tree, parent 0;
Point 408 has a distance 83 to the tree, parent 0;
Point 409 has a distance 33 to the tree, parent 0;
Point 410 has a distance 58 to the tree, parent 0;
Point 411 has a distance 44 to the tree, parent 0;
Point 412 has a distance 58 to the tree, parent 0;
Point 413 has a distance 57 to the tree, parent 0;
Point 414 has a distance 147 to the tree, parent 0;
Point 415 has a distance 77 to the tree, parent 0;
Point 416 has a distance 89 to the tree, parent 0;
Point 417 has a distance 50 to the tree, parent 0;
Point 418 has a distance 139 to the tree, parent 0;
Point 419 has a distance 46 to the tree, parent 0;
Point 420 has a distance 17 to the tree, parent 0;
Point 421 has a distance 135 to the tree, parent 0;
Point 422 has a distance 65 to the tree, parent 0;
Point 423 has a distance 92 to the tree, parent 0;
Point 424 has a distance 80 to the tree, parent 0;
Point 425 has a distance 34 to the tree, parent 0;
Point 426 has a distance 57 to the tree, parent 0;
Point 427 has a distance 65 to the tree, parent 0;
Point 428 has a distance 15 to the tree, parent 0;
