Choosing point 0 as the root ...
Point 508 has a distance 1108 to the tree, parent 0;
Point 509 has a distance 811 to the tree, parent 0;
Point 510 has a distance 412 to the tree, parent 0;
Point 511 has a distance 421 to the tree, parent 0;
Point 512 has a distance 340 to the tree, parent 0;
Point 513 has a distance 199 to the tree, parent 0;
Point 514 has a distance 1508 to the tree, parent 0;
Point 515 has a distance 1437 to the tree, parent 0;
Point 516 has a distance 201 to the tree, parent 0;
Point 517 has a distance 38 to the tree, parent 0;
Point 518 has a distance 662 to the tree, parent 0;
Point 519 has a distance 795 to the tree, parent 0;
Point 520 has a distance 1383 to the tree, parent 0;
Point 521 has a distance 367 to the tree, parent 0;
Point 522 has a distance 591 to the tree, parent 0;
Point 523 has a distance 1391 to the tree, parent 0;
Point 524 has a distance 521 to the tree, parent 0;
Point 525 has a distance 471 to the tree, parent 0;
Point 526 has a distance 326 to the tree, parent 0;
Point 527 has a distance 492 to the tree, parent 0;
Point 528 has a distance 954 to the tree, parent 0;
Point 529 has a distance 478 to the tree, parent 0;
Point 530 has a distance 817 to the tree, parent 0;
Point 531 has a distance 484 to the tree, parent 0;
Point 532 has a distance 359 to the tree, parent 0;
Point 533 has a distance 756 to the tree, parent 0;
Point 534 has a distance 761 to the tree, parent 0;
Point 535 has a distance 909 to the tree, parent 0;
Point 536 has a distance 1048 to the tree, parent 0;
Point 537 has a distance 111 to the tree, parent 0;
Point 538 has a distance 529 to the tree, parent 0;
Point 539 has a distance 1275 to the tree, parent 0;
Point 540 has a distance 1036 to the tree, parent 0;
Point 541 has a distance 667 to the tree, parent 0;
Point 542 has a distance 989 to the tree, parent 0;
Point 543 has a distance 1227 to the tree, parent 0;
Point 544 has a distance 1242 to the tree, parent 0;
Point 545 has a distance 651 to the tree, parent 0;
Point 546 has a distance 865 to the tree, parent 0;
Point 547 has a distance 823 to the tree, parent 0;
Point 548 has a distance 975 to the tree, parent 0;
Point 549 has a distance 762 to the tree, parent 0;
Point 550 has a distance 1065 to the tree, parent 0;
Point 551 has a distance 1435 to the tree, parent 0;
Point 552 has a distance 944 to the tree, parent 0;
Point 553 has a distance 509 to the tree, parent 0;
Point 554 has a distance 850 to the tree, parent 0;
Point 555 has a distance 909 to the tree, parent 0;
Point 556 has a distance 370 to the tree, parent 0;
Point 557 has a distance 126 to the tree, parent 0;
Point 558 has a distance 1141 to the tree, parent 0;
Point 559 has a distance 715 to the tree, parent 0;
Point 560 has a distance 1052 to the tree, parent 0;
Point 561 has a distance 332 to the tree, parent 0;
Point 562 has a distance 1611 to the tree, parent 0;
Point 563 has a distance 770 to the tree, parent 0;
Point 564 has a distance 669 to the tree, parent 0;
Point 565 has a distance 875 to the tree, parent 0;
Point 566 has a distance 957 to the tree, parent 0;
Point 567 has a distance 472 to the tree, parent 0;
Point 568 has a distance 950 to the tree, parent 0;
Point 569 has a distance 726 to the tree, parent 0;
Point 570 has a distance 1438 to the tree, parent 0;
Point 571 has a distance 357 to the tree, parent 0;
Point 572 has a distance 881 to the tree, parent 0;
Point 573 has a distance 1022 to the tree, parent 0;
Point 574 has a distance 916 to the tree, parent 0;
Point 575 has a distance 339 to the tree, parent 0;
Point 576 has a distance 694 to the tree, parent 0;
Point 577 has a distance 822 to the tree, parent 0;
Point 578 has a distance 1453 to the tree, parent 0;
Point 579 has a distance 1134 to the tree, parent 0;
Point 580 has a distance 166 to the tree, parent 0;
Point 581 has a distance 791 to the tree, parent 0;
Point 582 has a distance 1325 to the tree, parent 0;
Point 583 has a distance 544 to the tree, parent 0;
Point 584 has a distance 1358 to the tree, parent 0;
Point 585 has a distance 702 to the tree, parent 0;
Point 586 has a distance 279 to the tree, parent 0;
Point 587 has a distance 188 to the tree, parent 0;
Point 588 has a distance 763 to the tree, parent 0;
Point 589 has a distance 988 to the tree, parent 0;
Point 590 has a distance 108 to the tree, parent 0;
Point 591 has a distance 649 to the tree, parent 0;
Point 592 has a distance 625 to the tree, parent 0;
Point 593 has a distance 297 to the tree, parent 0;
Point 594 has a distance 917 to the tree, parent 0;
Point 595 has a distance 444 to the tree, parent 0;
Point 596 has a distance 714 to the tree, parent 0;
Point 597 has a distance 390 to the tree, parent 0;
Point 598 has a distance 1434 to the tree, parent 0;
Point 599 has a distance 291 to the tree, parent 0;
